	Ecoli	Listeria	Shigellia
OG0000010	sp|P0A968|CSPD_ECOLI, sp|P0A972|CSPE_ECOLI, sp|P0A9X9|CSPA_ECOLI, sp|P0A9Y6|CSPC_ECOLI	sp|P0A355|CSPA_LISMO, sp|P0A357|CSPB_LISMO, tr|Q92AD0|Q92AD0_LISMO	tr|F5NRW4|F5NRW4_SHIFL, tr|F5NSF5|F5NSF5_SHIFL, tr|F5NUD2|F5NUD2_SHIFL, tr|F5P2M9|F5P2M9_SHIFL
OG0000011	sp|P02931|OMPF_ECOLI, sp|P02932|PHOE_ECOLI, sp|P06996|OMPC_ECOLI, sp|P21420|NMPC_ECOLI, sp|P76335|YEDS_ECOLI, sp|P77747|OMPN_ECOLI		tr|F5NQ98|F5NQ98_SHIFL, tr|F5NSR4|F5NSR4_SHIFL, tr|F5NTY7|F5NTY7_SHIFL, tr|F5NVZ8|F5NVZ8_SHIFL, tr|F5NXE9|F5NXE9_SHIFL
OG0000012	sp|P17445|BETB_ECOLI, sp|P23883|PUUC_ECOLI, sp|P25526|GABD_ECOLI, sp|P37685|ALDB_ECOLI, sp|P76149|SAD_ECOLI, sp|P80668|FEAB_ECOLI	sp|Q8Y9Y4|IOLA_LISMO, tr|Q8Y8I9|Q8Y8I9_LISMO	tr|F5NU99|F5NU99_SHIFL, tr|F5P472|F5P472_SHIFL
OG0000013	sp|P0CF07|INSA1_ECOLI, sp|P0CF08|INSA2_ECOLI, sp|P0CF09|INSA3_ECOLI, sp|P0CF10|INSA4_ECOLI, sp|P0CF11|INSA5_ECOLI, sp|P0CF12|INSA6_ECOLI, sp|P19767|INSA7_ECOLI		tr|F5NTW7|F5NTW7_SHIFL, tr|F5NV33|F5NV33_SHIFL, tr|F5P027|F5P027_SHIFL
OG0000014	sp|P08506|DACC_ECOLI, sp|P0AEB2|DACA_ECOLI, sp|P33013|DACD_ECOLI	tr|Q8Y3M3|Q8Y3M3_LISMO, tr|Q8Y3S7|Q8Y3S7_LISMO	tr|F5NRX2|F5NRX2_SHIFL, tr|F5NSC0|F5NSC0_SHIFL, tr|F5NSC1|F5NSC1_SHIFL, tr|F5NSM1|F5NSM1_SHIFL
OG0000015	sp|P21514|YAHA_ECOLI, sp|P32701|YJCC_ECOLI, sp|P75995|YCGG_ECOLI, sp|P76129|DOSP_ECOLI	tr|Q8Y5Y9|Q8Y5Y9_LISMO, tr|Q8YAJ4|Q8YAJ4_LISMO	tr|F5NVB9|F5NVB9_SHIFL, tr|F5P2S2|F5P2S2_SHIFL, tr|F5P3M3|F5P3M3_SHIFL
OG0000016	sp|P30130|FIMD_ECOLI, sp|P33129|HTRE_ECOLI, sp|P42915|YRAJ_ECOLI, sp|P75857|ELFC_ECOLI, sp|P76137|YDET_ECOLI, sp|P77468|SFMD_ECOLI		tr|F5NRP9|F5NRP9_SHIFL, tr|F5P043|F5P043_SHIFL, tr|F5P419|F5P419_SHIFL
OG0000017	sp|P39212|INSN2_ECOLI, sp|P75679|INSN1_ECOLI		tr|F5NR52|F5NR52_SHIFL, tr|F5NRR5|F5NRR5_SHIFL, tr|F5NS34|F5NS34_SHIFL, tr|F5NSE9|F5NSE9_SHIFL, tr|F5NXG0|F5NXG0_SHIFL, tr|F5P1W6|F5P1W6_SHIFL, tr|F5P3D6|F5P3D6_SHIFL
OG0000018	sp|P0CF40|INSC1_ECOLI, sp|P0CF41|INSC2_ECOLI, sp|P0CF42|INSC3_ECOLI, sp|P0CF43|INSC4_ECOLI, sp|P0CF44|INSC5_ECOLI, sp|P0CF45|INSC6_ECOLI		tr|F5NWJ0|F5NWJ0_SHIFL, tr|F5P0J8|F5P0J8_SHIFL, tr|F5P3A6|F5P3A6_SHIFL
OG0000019	sp|P75680|INSO1_ECOLI, sp|Q47718|INSO2_ECOLI		tr|F5NQM7|F5NQM7_SHIFL, tr|F5NR51|F5NR51_SHIFL, tr|F5NU75|F5NU75_SHIFL, tr|F5NVG3|F5NVG3_SHIFL, tr|F5NX45|F5NX45_SHIFL, tr|F5NXH2|F5NXH2_SHIFL, tr|F5P2N5|F5P2N5_SHIFL
OG0000020	sp|P02942|MCP1_ECOLI, sp|P05704|MCP3_ECOLI, sp|P07017|MCP2_ECOLI, sp|P07018|MCP4_ECOLI	tr|Q8Y919|Q8Y919_LISMO	tr|F5NU33|F5NU33_SHIFL, tr|F5NVU6|F5NVU6_SHIFL, tr|F5NVU7|F5NVU7_SHIFL, tr|F5P477|F5P477_SHIFL
OG0000021	sp|P23917|MAK_ECOLI, sp|P75959|NAGK_ECOLI	sp|Q8Y3R9|BGLK_LISMO, tr|Q8Y3N9|Q8Y3N9_LISMO, tr|Q8Y7E4|Q8Y7E4_LISMO, tr|Q8Y8W6|Q8Y8W6_LISMO, tr|Q8YAL2|Q8YAL2_LISMO	tr|F5NQE0|F5NQE0_SHIFL, tr|F5NT25|F5NT25_SHIFL
OG0000022	sp|P23843|OPPA_ECOLI, sp|P77348|MPPA_ECOLI, sp|Q46863|YGIS_ECOLI	tr|Q7AP52|Q7AP52_LISMO, tr|Q8Y486|Q8Y486_LISMO, tr|Q8YAH4|Q8YAH4_LISMO	tr|F5NTJ1|F5NTJ1_SHIFL, tr|F5NTJ2|F5NTJ2_SHIFL, tr|F5NVQ4|F5NVQ4_SHIFL
OG0000023	sp|P17334|PTQC_ECOLI	tr|Q8Y3Q1|Q8Y3Q1_LISMO, tr|Q8Y3X1|Q8Y3X1_LISMO, tr|Q8Y3Z4|Q8Y3Z4_LISMO, tr|Q8Y8K0|Q8Y8K0_LISMO, tr|Q8Y9Z4|Q8Y9Z4_LISMO, tr|Q8YAS9|Q8YAS9_LISMO, tr|Q926Y4|Q926Y4_LISMO	tr|F5NUN8|F5NUN8_SHIFL
OG0000024	sp|P0AAB8|USPD_ECOLI, sp|P0AED0|USPA_ECOLI, sp|P46888|USPC_ECOLI	tr|Q8Y405|Q8Y405_LISMO, tr|Q8Y6V1|Q8Y6V1_LISMO, tr|Q8Y9L2|Q8Y9L2_LISMO	tr|F5NVV4|F5NVV4_SHIFL, tr|F5P145|F5P145_SHIFL, tr|F5P2R4|F5P2R4_SHIFL
OG0000025	sp|P0AE88|CPXR_ECOLI, sp|P0AFJ5|PHOB_ECOLI	tr|Q8Y4E5|Q8Y4E5_LISMO, tr|Q8Y5V7|Q8Y5V7_LISMO, tr|Q8Y719|Q8Y719_LISMO, tr|Q8YA72|Q8YA72_LISMO	tr|F5NQE5|F5NQE5_SHIFL, tr|F5P155|F5P155_SHIFL
OG0000026	sp|P0AEJ0|EMRB_ECOLI, sp|P52600|EMRY_ECOLI	sp|Q8Y9K8|LMRB_LISMO, tr|Q8Y467|Q8Y467_LISMO, tr|Q8Y6R6|Q8Y6R6_LISMO	tr|F5NYD4|F5NYD4_SHIFL, tr|F5NYX0|F5NYX0_SHIFL, tr|F5NYX1|F5NYX1_SHIFL
OG0000027	sp|P75942|FLGJ_ECOLI	tr|Q8Y3Y8|Q8Y3Y8_LISMO, tr|Q8Y464|Q8Y464_LISMO, tr|Q8Y572|Q8Y572_LISMO, tr|Q8Y7Q6|Q8Y7Q6_LISMO, tr|Q8Y7Q7|Q8Y7Q7_LISMO, tr|Q8Y842|Q8Y842_LISMO	tr|F5NSY4|F5NSY4_SHIFL
OG0000028	sp|P03014|PINE_ECOLI, sp|P0ADI0|PINR_ECOLI, sp|P77170|PINQ_ECOLI	tr|Q8Y4U8|Q8Y4U8_LISMO	tr|F5NS31|F5NS31_SHIFL, tr|F5NSK6|F5NSK6_SHIFL, tr|F5NSK7|F5NSK7_SHIFL, tr|F5NY61|F5NY61_SHIFL
OG0000029	sp|P69795|PTQB_ECOLI	tr|Q8Y3Q2|Q8Y3Q2_LISMO, tr|Q8Y3S0|Q8Y3S0_LISMO, tr|Q8Y3Z5|Q8Y3Z5_LISMO, tr|Q8Y4R1|Q8Y4R1_LISMO, tr|Q8Y6G7|Q8Y6G7_LISMO, tr|Q8Y9Z3|Q8Y9Z3_LISMO	tr|F5NUN7|F5NUN7_SHIFL
OG0000030	sp|P76122|YDDJ_ECOLI, sp|P76123|YDDK_ECOLI	sp|Q8Y3L4|INLJ_LISMO, tr|Q8Y7I7|Q8Y7I7_LISMO, tr|Q8Y7I8|Q8Y7I8_LISMO, tr|Q8Y9L3|Q8Y9L3_LISMO, tr|Q8YA34|Q8YA34_LISMO	tr|F5NVE4|F5NVE4_SHIFL
OG0000031	sp|P0A9H3|LDCI_ECOLI, sp|P28629|ADIA_ECOLI, sp|P52095|DCLZ_ECOLI	tr|Q8Y3Y5|Q8Y3Y5_LISMO	tr|F5NPQ9|F5NPQ9_SHIFL, tr|F5P3U1|F5P3U1_SHIFL, tr|F5P3U2|F5P3U2_SHIFL
OG0000032	sp|P04983|RBSA_ECOLI, sp|P0AAG8|MGLA_ECOLI, sp|P32721|ALSA_ECOLI	tr|Q8Y7A1|Q8Y7A1_LISMO	tr|F5NX74|F5NX74_SHIFL, tr|F5P208|F5P208_SHIFL, tr|F5P3Q8|F5P3Q8_SHIFL
OG0000033	sp|P0AGI1|RBSC_ECOLI, sp|P32720|ALSC_ECOLI, sp|P77315|YPHD_ECOLI	tr|Q8Y799|Q8Y799_LISMO, tr|Q8Y7A0|Q8Y7A0_LISMO	tr|F5P209|F5P209_SHIFL, tr|F5P3Q7|F5P3Q7_SHIFL
OG0000034	sp|P0AE45|YTFL_ECOLI, sp|P0AE78|CORC_ECOLI	tr|Q8Y3U3|Q8Y3U3_LISMO, tr|Q8Y4N6|Q8Y4N6_LISMO, tr|Q8Y544|Q8Y544_LISMO	tr|F5NS01|F5NS01_SHIFL, tr|F5P3E5|F5P3E5_SHIFL
OG0000035	sp|P23841|XAPR_ECOLI, sp|P27111|CYNR_ECOLI, sp|P77559|YNFL_ECOLI	tr|Q8Y6F2|Q8Y6F2_LISMO, tr|Q8Y9N3|Q8Y9N3_LISMO, tr|Q8Y9N7|Q8Y9N7_LISMO	tr|F5NV63|F5NV63_SHIFL
OG0000036	sp|P0AA76|DGOT_ECOLI, sp|P0AA80|GARP_ECOLI, sp|Q46916|GUDP_ECOLI	tr|Q8Y3L9|Q8Y3L9_LISMO	tr|F5NYK8|F5NYK8_SHIFL, tr|F5P034|F5P034_SHIFL, tr|F5P1T5|F5P1T5_SHIFL
OG0000037	sp|P0ABF4|EUTM_ECOLI, sp|P76540|EUTK_ECOLI	tr|Q8Y7U2|Q8Y7U2_LISMO, tr|Q8Y7W0|Q8Y7W0_LISMO, tr|Q8Y7W8|Q8Y7W8_LISMO, tr|Q92CM7|Q92CM7_LISMO	tr|F5NYB1|F5NYB1_SHIFL
OG0000038	sp|P24218|INTD_ECOLI, sp|P76056|INTR_ECOLI, sp|P76168|INTQ_ECOLI	sp|Q8Y7K0|XERC_LISMO, tr|Q8Y821|Q8Y821_LISMO	tr|F5NVQ8|F5NVQ8_SHIFL, tr|F5P4Y2|F5P4Y2_SHIFL
OG0000039	sp|P0CF79|INSF1_ECOLI, sp|P0CF80|INSF2_ECOLI, sp|P0CF81|INSF3_ECOLI, sp|P0CF82|INSF4_ECOLI, sp|P0CF83|INSF5_ECOLI		tr|F5NR93|F5NR93_SHIFL, tr|F5P021|F5P021_SHIFL
OG0000040	sp|P00892|ILVG_ECOLI, sp|P00893|ILVI_ECOLI, sp|P08142|ILVB_ECOLI	tr|Q8Y5S1|Q8Y5S1_LISMO	tr|F5NQ01|F5NQ01_SHIFL, tr|F5P1N7|F5P1N7_SHIFL, tr|F5P1R1|F5P1R1_SHIFL
OG0000041	sp|P10907|UGPC_ECOLI, sp|P68187|MALK_ECOLI, sp|P77481|YCJV_ECOLI	tr|Q8YA81|Q8YA81_LISMO	tr|F5NTT2|F5NTT2_SHIFL, tr|F5P0Q9|F5P0Q9_SHIFL, tr|F5P2Y5|F5P2Y5_SHIFL
OG0000042	sp|P39386|MDTM_ECOLI, sp|P77726|YAJR_ECOLI	tr|Q7AP71|Q7AP71_LISMO, tr|Q8Y3L7|Q8Y3L7_LISMO, tr|Q8Y4Q7|Q8Y4Q7_LISMO, tr|Q8Y8Q7|Q8Y8Q7_LISMO	tr|F5NR59|F5NR59_SHIFL
OG0000043	sp|P76190|MEPH_ECOLI, sp|Q47151|YAFL_ECOLI	sp|P21171|P60_LISMO, tr|Q7AP49|Q7AP49_LISMO, tr|Q8Y9X4|Q8Y9X4_LISMO	tr|F5NQ82|F5NQ82_SHIFL, tr|F5NUY2|F5NUY2_SHIFL
OG0000044	sp|P54746|MNGB_ECOLI	tr|Q8Y3U7|Q8Y3U7_LISMO, tr|Q8Y5P2|Q8Y5P2_LISMO, tr|Q8Y9U1|Q8Y9U1_LISMO, tr|Q8Y9W8|Q8Y9W8_LISMO	tr|F5NQS3|F5NQS3_SHIFL, tr|F5NQS5|F5NQS5_SHIFL
OG0000045	sp|P16095|SDHL_ECOLI, sp|P30744|SDHM_ECOLI, sp|P42630|TDCG_ECOLI	tr|Q8Y685|Q8Y685_LISMO	tr|F5NUE3|F5NUE3_SHIFL, tr|F5NZ30|F5NZ30_SHIFL, tr|F5NZP5|F5NZP5_SHIFL
OG0000046	sp|P27302|TKT1_ECOLI, sp|P33570|TKT2_ECOLI	tr|Q8Y417|Q8Y417_LISMO, tr|Q8Y7H4|Q8Y7H4_LISMO, tr|Q8YA23|Q8YA23_LISMO	tr|F5NYC0|F5NYC0_SHIFL, tr|F5NZX6|F5NZX6_SHIFL
OG0000047	sp|P31667|YHGA_ECOLI, sp|P37014|YFAD_ECOLI, sp|P39387|YJIP_ECOLI, sp|P77768|YFCI_ECOLI		tr|F5NXJ5|F5NXJ5_SHIFL, tr|F5NXQ6|F5NXQ6_SHIFL, tr|F5P321|F5P321_SHIFL
OG0000048	sp|P0A6A3|ACKA_ECOLI, sp|P11868|TDCD_ECOLI	sp|Q8Y6V0|ACKA1_LISMO, sp|Q8Y7V1|ACKA2_LISMO	tr|F5NXP7|F5NXP7_SHIFL, tr|F5NZN9|F5NZN9_SHIFL
OG0000049	sp|P0AE06|ACRA_ECOLI, sp|P24180|ACRE_ECOLI, sp|P37636|MDTE_ECOLI		tr|F5NRH9|F5NRH9_SHIFL, tr|F5P0G7|F5P0G7_SHIFL, tr|F5P2P0|F5P2P0_SHIFL
OG0000050	sp|P09832|GLTD_ECOLI, sp|P37127|AEGA_ECOLI, sp|Q46820|YGFT_ECOLI	tr|Q8Y6F4|Q8Y6F4_LISMO	tr|F5NXV7|F5NXV7_SHIFL, tr|F5P0B7|F5P0B7_SHIFL
OG0000051	sp|P36548|AMIA_ECOLI, sp|P63883|AMIC_ECOLI	tr|Q8Y707|Q8Y707_LISMO, tr|Q8YAJ6|Q8YAJ6_LISMO	tr|F5NYA7|F5NYA7_SHIFL, tr|F5NZ55|F5NZ55_SHIFL
OG0000052	sp|P0A959|ALAA_ECOLI, sp|P77806|YBDL_ECOLI	tr|Q8Y525|Q8Y525_LISMO, tr|Q8Y606|Q8Y606_LISMO, tr|Q8Y8A4|Q8Y8A4_LISMO	tr|F5NXP0|F5NXP0_SHIFL
OG0000053	sp|P37650|BCSC_ECOLI	tr|Q8Y4G5|Q8Y4G5_LISMO, tr|Q8Y716|Q8Y716_LISMO, tr|Q8Y7E6|Q8Y7E6_LISMO	tr|F5P2J6|F5P2J6_SHIFL, tr|F5P2J7|F5P2J7_SHIFL
OG0000054	sp|P24171|DCP_ECOLI, sp|P27298|OPDA_ECOLI	tr|Q8Y583|Q8Y583_LISMO, tr|Q8Y730|Q8Y730_LISMO	tr|F5NU65|F5NU65_SHIFL, tr|F5P2R0|F5P2R0_SHIFL
OG0000055	sp|P69908|DCEA_ECOLI, sp|P69910|DCEB_ECOLI	sp|Q8Y4K4|DCEC_LISMO, sp|Q9EYW9|DCEB_LISMO, sp|Q9F5P3|DCEA_LISMO	tr|F5NVB5|F5NVB5_SHIFL
